id,study_id,contrast_id,x,y,z,space
10400972-1,10400972,1,-34.79873770685653,-12.999207737806417,49.83658684093193,mni152_2mm
10400972-1,10400972,1,-23.89429691496788,-66.69161260519726,56.44454168187242,mni152_2mm
10400972-1,10400972,1,43.32184478261178,-56.399487964728635,45.887728887796015,mni152_2mm
10400972-1,10400972,1,-34.65948287107078,-45.60749819043012,54.800018442614444,mni152_2mm
10400972-1,10400972,1,3.8641873820537738,-68.98261282135111,51.85702169524974,mni152_2mm
10400972-1,10400972,1,2.738451817461094,-65.18770150223247,45.9756987835932,mni152_2mm
10400972-1,10400972,1,-0.3556719803553625,-62.95022265304941,61.4364003177283,mni152_2mm
10400972-1,10400972,1,-0.4026362287007308,-73.32351351102282,51.1548738364944,mni152_2mm
10400972-1,10400972,1,-42.39518895165703,-71.3700373743081,11.326192992918518,mni152_2mm
10400972-1,10400972,1,-48.83914629224629,-67.35015011259597,8.832691530363949,mni152_2mm
10400972-1,10400972,1,31.607858743254294,-60.442554897283856,49.706946786238674,mni152_2mm
10400972-1,10400972,1,3.8839834165227787,-74.26964767260392,52.30018119302959,mni152_2mm
10400972-1,10400972,1,45.192345312251014,-74.53123024048932,3.8940195799806077,mni152_2mm
10400972-1,10400972,1,51.568313541142935,-64.97615251408781,3.019463632860078,mni152_2mm
10400972-1,10400972,1,-46.71088823414258,-71.82396143326491,5.83783210504426,mni152_2mm
10400972-1,10400972,1,-44.5816062842848,-69.69634249471497,5.634945355560053,mni152_2mm
10400972-1,10400972,1,55.85063268222128,-67.06535645849131,3.145481531227464,mni152_2mm
10400972-1,10400972,1,-42.45198303717567,-65.36824680309208,6.362716164687669,mni152_2mm
10400972-1,10400972,1,-42.42392729166772,-70.56961884177304,7.913797020191268,mni152_2mm
10400972-1,10400972,1,51.84859748208726,-39.00144238566521,49.90673348203025,mni152_2mm
10400972-1,10400972,1,50.49179494553265,-62.86774107261111,2.85501130893428,mni152_2mm
10400972-1,10400972,1,57.963395210001146,-65.10906314508505,0.7267520662957327,mni152_2mm
10400972-1,10400972,1,-34.64036943110449,-55.295486547828844,53.38186282317062,mni152_2mm
10400972-1,10400972,1,46.209817101705646,-58.57806037513466,3.6596509691787196,mni152_2mm
10400972-1,10400972,1,39.010446004271394,-55.710342240863056,41.418657458089555,mni152_2mm
10400972-1,10400972,1,31.4522208455131,-0.5424620626777539,53.606931272894585,mni152_2mm
10400972-1,10400972,1,39.99535660694402,-10.436218865596723,48.76251977879039,mni152_2mm
10400972-1,10400972,1,38.91023700304342,-10.613946989764806,46.55948853852901,mni152_2mm
10400972-1,10400972,1,-38.03655320472635,-6.759636225948113,48.23530851143077,mni152_2mm
10400972-1,10400972,1,44.24238418322952,-0.8082833246722054,49.0215081397659,mni152_2mm
10400972-1,10400972,1,-39.045423985890665,-20.426666525657975,50.50825603856825,mni152_2mm
10400972-1,10400972,1,47.4266822079718,-6.504424741710971,43.886626423368526,mni152_2mm
10400972-1,10400972,1,-29.4564193922458,-17.368148748830293,47.91121434777759,mni152_2mm
10400972-1,10400972,1,1.5673899137734035,-8.037918014543271,55.693997232721955,mni152_2mm
10400972-1,10400972,1,-36.927678359462945,-12.926349923283395,50.970131149027964,mni152_2mm
